trial,item_no,item_id,type,expset,condition,social_context,target_context,register_match,grammatical,context,critical,sentence,picture1,correct_answer
critical,97,17,filler,WP2,h,low,low,match,no,Die Sportlegende*laberte*nonstop:,Der Fechter*fighten*den Gegner.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler17_WP2_related_1.jpg,Ja
critical,66,33,filler,SocStat,a,low,high,match,yes,"Er*wohnt*in N&uuml;rnberg,*die Stadt der Lebkuchen.","Ich*wei&szlig;,*dass*das Rezept*trotz der richtigen Angabe*misslingt.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler33_socstat_related_1.jpg,Ja
critical,77,49,filler,SocStat,b,low,high,match,no,Erika*munkelte*&uuml;ber Ihre Hoffnung.,"Ich*hoffe,*dass*das Wetter*trotz die kalte Prognose*angenehm ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler49_socstat_unrelated_1.jpg,Nein
critical,4,4,critical,WP1,d,low,high,mismatch,yes,Schlampig*eingestellt*labert*Felix.,Ich*pierce*bald*meine Ohren*in dem Shoppingcenter.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Ohren.jpg,Ja
critical,96,16,filler,WP2,h,low,low,match,no,Der Assi*schmiss*in die Runde:,Der Radfahrer*bep&ouml;beln*den Autofahrer.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler16_WP2_related_1.jpg,Ja
critical,79,51,filler,SocStat,b,low,high,match,no,Der Chef*lehnte sich*mit der Vermutung*aus dem Fenster.,"Ich*nehme an,*dass*der Umsatz*trotz die miese Wirtschaftslage*schnell steigt.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler51_socstat_related_1.jpg,Ja
critical,62,28,filler,SocStat,a,low,high,match,yes,Peter*mag*an Potsdam*die vielen Gr&uuml;nfl&auml;chen.,"Ich*mutma&szlig;e,*dass*der Park*wegen der schmalen Gr&ouml;&szlig;e*&uuml;bersichtlich ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler28_socstat_unrelated_1.jpg,Nein
critical,2,2,critical,WP1,d,low,high,mismatch,yes,Sauber zurechtgemacht*labert*Peter:,Ich*falte*gleich*meine Kleidung*auf der Couch.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Kleidung.jpg,Ja
critical,92,12,filler,WP2,g,low,low,match,yes,Das M&auml;del*motzte*beim Telefonieren:,Der Passant*schimpfte*den Obdachlosen.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler12_WP2_related_1.jpg,Ja
critical,78,50,filler,SocStat,b,low,high,match,no,Die Kritiker*beratschlagten sich.,"Ich*nehme an,*dass*der Film*trotz die schwache Bewertung*interessant ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler50_socstat_related_1.jpg,Ja
critical,12,12,critical,WP1,f,low,high,mismatch,no,Patent trainiert*verklickert*Daniel:,Ich*striegel*gleich*meine Hosen*f&uuml;r den Wettbewerb.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Hosen.jpg,Ja
critical,84,4,filler,WP2,i,low,high,mismatch,yes,Der Klatschreporter*tippte*in der BILD:,Die Regisseurin*koste*den Hauptdarsteller.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler4_WP2_unrelated_2.jpg,Nein
critical,6,6,critical,WP1,c,low,low,match,yes,Stark unter Dampf*tr&ouml;tet*Moritz:,Ich*t&ouml;pfere*sp&auml;ter*meine P&ouml;tte*in dem Studio.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Poette.jpg,Ja
critical,98,18,filler,WP2,h,low,low,match,no,Die Studis*l&auml;sterten*vor der Kunstuni:,Der Ausbilder*sponsern*die K&uuml;nstlerin.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler18_WP2_unrelated_2.jpg,Nein
critical,76,48,filler,SocStat,b,low,high,match,no,Der Patient*versicherte*dem Doktor.,"Ich*vermute,*dass*der Zahn*trotz die sanfte Behandlung*oft*schmerzt.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler48_socstat_unrelated_1.jpg,Nein
critical,89,9,filler,WP2,j,low,high,mismatch,no,Die B&uuml;rotante*kritzelte*auf den Zettel:,Der Reiseleiter*ersp&auml;hen*den Einzelg&auml;nger.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler9_WP2_unrelated_2.jpg,Nein
critical,3,3,critical,WP1,d,low,high,mismatch,yes,Schlampig eingestellt*labert*Felix.,Ich*saniere*bald*meine Wohnung*in der City.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Wohnung.jpg,Ja
critical,100,20,filler,WP2,h,low,low,match,no,Der P&ouml;bel*gr&ouml;lte*in den Gassen:,Der Kaiser*h&auml;tscheln*den Herzog.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler20_WP2_related_1.jpg,Ja
critical,71,41,filler,SocStat,b,low,high,match,no,Sein Enkel*macht*in seiner Heimatstadt Wittenberg*Abitur.,"Ich*bin sicher,*dass*die Note*trotz die knappe Vorbereitung*erfreulich ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler41_socstat_related_1.jpg,Ja
critical,17,17,critical,WP1,e,low,low,match,no,Pingelig getrimmt*schwafelt*Tobias:,Ich*putze*gleich*mein Vieh*mit dem Putzzeug.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Vieh.jpg,Ja
critical,1,1,critical,WP1,d,low,high,mismatch,yes,Sauber zurechtgemacht*labert*Peter:,Ich*binde*gleich*meine Schuhe*vor dem Zimmer.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Schuhe.jpg,Ja
critical,72,43,filler,SocStat,b,low,high,match,no,Der Elternbeirat*aus Wiesbaden*trifft sich*w&ouml;chentlich.,"Ich*denke,*dass*das Treffen*trotz die ernste Diskussion*p&uuml;nktlich*endet.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler43_socstat_related_1.jpg,Ja
critical,70,40,filler,SocStat,a,low,high,match,yes,In Ihrer neuen Heimat*Kassel*ist*viel Platz*f&uuml;r ein Beet.,"Ich*bef&uuml;rchte,*dass*der Garten*trotz der &uuml;ppigen Pflege*zuwachsen wird.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler40_socstat_unrelated_1.jpg,Nein
critical,10,10,critical,WP1,c,low,low,match,yes,Massig betucht*schwafelt*Paula:,Ich*rasiere*bald*meine Stelzen*f&uuml;r die Party.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Stelzen.jpg,Ja
critical,85,5,filler,WP2,i,low,high,mismatch,yes,Der P&ouml;bel*erz&auml;hlte*&uuml;berall rum:,Der Bischof*tadelte*den Herrscher.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler5_WP2_related_1.jpg,Ja
critical,73,45,filler,SocStat,b,low,high,match,no,Eduard*versprach*seiner Liebsten.,"Ich*sch&auml;tze,*dass*das Haus*trotz die nahe Deponie*verkauft ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler45_socstat_unrelated_1.jpg,Nein
critical,67,34,filler,SocStat,a,low,high,match,yes,Wir*sind*wegen der guten M&ouml;glichkeiten*nach Leipzig*gezogen.,"Ich*behaupte,*dass*der Reifen*trotz der kurzen Reparatur*gerettet ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler34_socstat_related_1.jpg,Ja
critical,9,9,critical,WP1,c,low,low,match,yes,Massig betucht*schwafelt*Paula:,Ich*verschrotte*bald*meine Karren*neben der Fabrik.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Karren.jpg,Ja
critical,83,3,filler,WP2,i,low,high,mismatch,yes,Der Typ*verbreitete*auf WhatsApp:,Der Sportlehrer*tyrannisierte*den Wettl&auml;ufer.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler3_WP2_unrelated_2.jpg,Nein
critical,16,16,critical,WP1,e,low,low,match,no,Helle gestrickt*t&ouml;nt*Robert:,Ich*beantrage*jetzt*meinen B&ouml;ller*f&uuml;r den Job.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Boeller.jpg,Ja
critical,69,39,filler,SocStat,a,low,high,match,yes,Seine Gro&szlig;mutter*aus M&uuml;nchen*backt*sehr gerne.,"Ich*bef&uuml;rchte,*dass*der Kuchen*trotz der frischen F&uuml;llung*trocken ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler39_socstat_unrelated_1.jpg,Nein
critical,91,11,filler,WP2,g,low,low,match,yes,Die Babysitterin*checkte*im Laden:,Die Verk&auml;uferin*be&auml;ugelte*das Kind.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler11_WP2_related_1.jpg,Ja
critical,15,15,critical,WP1,f,low,high,mismatch,no,Helle gestrickt*t&ouml;nt*Robert:,Ich*z&uuml;nde*jetzt*meinen F&uuml;hrerschein*w&auml;hrend der Demo.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Fuehrerschein.jpg,Ja
critical,81,1,filler,WP2,i,low,high,mismatch,yes,Der T&uuml;rsteher*steckte*dem coolen Partygirl:,Der Trinker*diffamierte*den Taxifahrer.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler1_WP2_unrelated_2.jpg,Nein
critical,74,46,filler,SocStat,b,low,high,match,no,Tim*mauschelte*uns*seine Ideen*zu.,"Ich*vermute,*dass*die Zeit*trotz die schrille Musik*entspannend ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler46_socstat_unrelated_1.jpg,Nein
critical,7,7,critical,WP1,c,low,low,match,yes,Quietschfidel gelaunt*twittert*Dennis:,Ich*fahre*jetzt*meine Drahtesel*durch den Kiez.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Drahtesel.jpg,Ja
critical,90,10,filler,WP2,j,low,high,mismatch,no,Der Nichtsnutz*kr&auml;chzte*angepisst:,Der Autobesitzer*bel&auml;stigen*den Mechaniker.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler10_WP2_related_1.jpg,Ja
critical,82,2,filler,WP2,i,low,high,mismatch,yes,Die Gefangenen*gr&ouml;lten*im Knast:,Der Skinhead*z&uuml;chtigte*den H&auml;ftling.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler2_WP2_unrelated_2.jpg,Nein
critical,61,24,filler,SocStat,a,low,high,match,yes,Max*aus Bremen*ist*ein richtiger B&uuml;cherwurm.,"Ich*behaupte,*dass*das Lesen*wegen der neuen Brille*leichter f&auml;llt.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler24_socstat_unrelated_1.jpg,Nein
critical,8,8,critical,WP1,c,low,low,match,yes,Quietschfidel gelaunt*twittert*Dennis:,Ich*esse*jetzt*mein Gr&uuml;nzeug*von dem Sp&auml;ti.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Gruenzeug.jpg,Ja
critical,80,52,filler,SocStat,b,low,high,match,no,Intern*wurden*die Informationen*weitergeleitet.,"Ich*hoffe,*dass*die F&uuml;hrung*trotz das &uuml;ble Ungl&uuml;ck*stattfinden kann.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler52_socstat_unrelated_1.jpg,Nein
critical,86,6,filler,WP2,j,low,high,mismatch,no,Der S&auml;ufer*lallte*in der Kneipe:,Der Detektiv*&uuml;berlisten*den Gauner.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler6_WP2_unrelated_2.jpg,Nein
critical,93,13,filler,WP2,g,low,low,match,yes,Die Clique*johlte*beim Saufen:,Der Lokalbesitzer*verm&ouml;belte*den Kellner.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler13_WP2_unrelated_2.jpg,Nein
critical,20,20,critical,WP1,e,low,low,match,no,Aktiv mit*dabei*protzt*Lukas:,Ich*serviere*jetzt*meinen Wisch*auf der Terrasse.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Wisch.jpg,Ja
critical,94,14,filler,WP2,g,low,low,match,yes,Der Faulsack*st&ouml;hnte*total genervt:,Der Meister*checkte*den Lehrling.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler14_WP2_related_1.jpg,Ja
critical,5,5,critical,WP1,d,low,high,mismatch,yes,Stark unter Dampf*tr&ouml;tet*Moritz:,Ich*renoviere*sp&auml;ter*meine Gem&auml;cher*in dem Plattenbau.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Gemaecher.jpg,Ja
critical,63,29,filler,SocStat,a,low,high,match,yes,Maurice*f&auml;hrt regelm&auml;&szlig;ig*zur&uuml;ck nach Halle*zu seiner Familie.,"Ich*ahne,*dass*der Ausflug*wegen der sp&auml;ten Anmeldung*ausfallen muss.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler29_socstat_related_1.jpg,Ja
critical,54,14,filler,SocStat,b,high,high,match,no,Herr Meyers T&auml;tigkeit*als Disponent*verlangt*analytische F&auml;higkeiten.,"Ich*vermute,*dass*die Bahn*wegen das heikle Spiel*&uuml;berf&uuml;llt ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler14_socstat_related_1.jpg,Ja
critical,114,34,filler,WP2,i,high,low,mismatch,yes,Der Bevollm&auml;chtigte*dokumentierte*die Furore:,Der Raufbold*verhaute*den H&auml;ftling.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler34_WP2_related_1.jpg,Ja
critical,27,27,critical,WP1,d,high,low,mismatch,yes,Meisterlich begabt*stimuliert*Susanna:,Ich*schneidere*jetzt*meine Fummel*von dem Flohmarkt.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Fummel.jpg,Ja
critical,42,2,filler,SocStat,a,high,high,match,yes,J&uuml;rgen*spricht gerne*&uuml;ber seine T&auml;tigkeit*auf dem Bau.,"Ich*wei&szlig;,*dass*der Aufenthalt*wegen der schlechten Lage*preiswert ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler2_socstat_related_1.jpg,Ja
critical,38,38,critical,WP1,f,high,low,mismatch,no,Achtsam wohlmeinend*verbalisiert*Norbert:,Ich*versch&uuml;tte*gleich*meine Griffel*auf den Tischl&auml;ufer.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Griffel.jpg,Ja
critical,102,22,filler,WP2,g,high,high,match,yes,Der Adlige*schilderte*eine befremdliche Begebenheit:,Der Gastwirt*korrumpierte*den Winzer.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler22_WP2_related_1.jpg,Ja
critical,107,27,filler,WP2,h,high,high,match,no,Die Wehrm&auml;nner*kommunizierten*mit dem Admiral:,Der Kapit&auml;n*veralbern*den General.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler27_WP2_unrelated_2.jpg,Nein
critical,55,15,filler,SocStat,b,high,high,match,no,Charlotte*schreibt*freiberuflich*f&uuml;r ein Satiremagazin.,"Ich*ahne,*dass*die Stimmung*wegen die fiese Beleidigung*schlecht ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler15_socstat_unrelated_1.jpg,Nein
critical,36,36,critical,WP1,f,high,low,mismatch,no,Effizient autonom*deklariert*Vera:,Ich*montiere*sp&auml;ter*meine Glubscher*nach der Vorschrift.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Glubscher.jpg,Ja
critical,41,1,filler,SocStat,a,high,high,match,yes,Tante Inga*schuftet schwer*in der Imbissbude.,"Ich*merke,*dass*die Gegend*wegen des bunten Festes*abgesperrt ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler1_socstat_unrelated_1.jpg,Nein
critical,108,28,filler,WP2,h,high,high,match,no,Die Erziehungsberechtigten*erz&auml;hlten*dem Nachfahren:,Der Bruder*hintergehen*den Onkel.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler28_WP2_related_1.jpg,Ja
critical,31,31,critical,WP1,e,high,high,match,no,Grandios geschult*prophezeit*Klaus:,Ich*feuer*bald*meine Arznei*f&uuml;r die Probe.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Arznei.jpg,Ja
critical,119,39,filler,WP2,j,high,low,mismatch,no,Das Konsulat*&uuml;berlieferte*den Rapport:,Der Fremdenf&uuml;hrer*ghosten*die Reisegruppe.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler39_WP2_unrelated_2.jpg,Nein
critical,105,25,filler,WP2,g,high,high,match,yes,Die Publizistin*formulierte*in dem Essay:,Der Trainer*inspizierte*den Ringk&auml;mpfer.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler25_WP2_unrelated_2.jpg,Nein
critical,104,24,filler,WP2,g,high,high,match,yes,Die Hausherren*debattierten*die Novit&auml;t:,Der G&auml;rtner*bet&ouml;rte*den Gehilfen.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler24_WP2_unrelated_2.jpg,Nein
critical,28,28,critical,WP1,d,high,low,mismatch,yes,Meisterlich begabt*stimuliert*Susanna:,Ich*besaite*sp&auml;ter*meine Tr&ouml;te*f&uuml;r den Verehrer.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Troete.jpg,Ja
critical,53,13,filler,SocStat,b,high,high,match,no,Trotz Technologiesierung*arbeiten*viele*aus meiner Familie*in Fabriken.,"Ich*sch&auml;tze,*dass*die Lieferung*wegen die heftigen St&uuml;rme*versp&auml;tet ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler13_socstat_related_1.jpg,Ja
critical,50,10,filler,SocStat,a,high,high,match,yes,Mein Papa*ist*Schreiner.,"Ich*bef&uuml;rchte,*dass*die Sanierung*wegen der sch&ouml;nen Umgebung*chancenlos ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler10_socstat_related_1.jpg,Ja
critical,44,4,filler,SocStat,a,high,high,match,yes,Als Justiziar*ben&ouml;tigt man*eine breite Expertise.,"Ich*nehme an,*dass*das Verfahren*wegen der harten Anklage*aufgenommen wurde.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler4_socstat_unrelated_1.jpg,Nein
critical,26,26,critical,WP1,d,high,low,mismatch,yes,Unerh&ouml;rt wohlhabend*&auml;u&szlig;ert*Heike:,Ich*verkaufe*bald*meine Bude*bei der Versteigerung.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Bude.jpg,Ja
critical,116,36,filler,WP2,j,high,low,mismatch,no,Die Aufsichtsbeh&ouml;rde*offenbarte*in einem Dokument:,Der Immobilienbesitzer*prellen*den Makler.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler36_WP2_related_1.jpg,Ja
critical,25,25,critical,WP1,c,high,high,match,yes,Unerh&ouml;rt wohlhabend*&auml;u&szlig;ert*Heike:,Ich*pedik&uuml;re*bald*meine F&uuml;&szlig;e*mit der Mitarbeiterin.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Fuesse.jpg,Ja
critical,111,31,filler,WP2,i,high,low,mismatch,yes,Der Theaterdirektor*pr&auml;zisierte*in den Memoiren:,Der Bengel*ver&auml;ppelte*den Flegel.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler31_WP2_related_1.jpg,Ja
critical,60,21,filler,SocStat,b,high,high,match,no,Als Lektor*steht*Hans*stets*vor neuen Herausforderungen.,"Ich*hoffe,*dass*die Reaktion*wegen die falsche Nachricht*angemessen ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler21_socstat_unrelated_1.jpg,Nein
critical,24,24,critical,WP1,c,high,high,match,yes,Beflissen arbeitend*k&uuml;ndet*Lars:,Ich*bef&uuml;lle*gleich*meine Flasche*von dem Wasserhahn.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Flasche.jpg,Ja
critical,118,38,filler,WP2,j,high,low,mismatch,no,Die Polizeidirektorin*referierte*die Rivalit&auml;t:,Der Polizist*schnappen*die Aktivistin.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler38_WP2_unrelated_2.jpg,Nein
critical,51,11,filler,SocStat,b,high,high,match,no,Elsa*verdient*als Pilotin*sehr viel Geld.,"Ich*bin &uuml;berzeugt,*dass*die Freundschaft*wegen die gro&szlig;e Entfernung*leiden muss.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler11_socstat_related_1.jpg,Ja
critical,110,30,filler,WP2,h,high,high,match,no,Der Gesetzesh&uuml;ter*protokollierte*den Streit:,Der Verbrecher*monieren*den Kontaktmann.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler30_WP2_related_1.jpg,Ja
critical,21,21,critical,WP1,c,high,high,match,yes,Fachkundig instruiert*signalisiert*Florian:,Ich*st&auml;hle*jetzt*meinen Bauch*f&uuml;r den Sommerurlaub.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Bauch.jpg,Ja
critical,113,33,filler,WP2,i,high,low,mismatch,yes,Die Repr&auml;sentanten*verifizierten*den Eklat:,Der S&auml;ufer*mobbte*den Rowdy.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler33_WP2_related_1.jpg,Ja
critical,106,26,filler,WP2,h,high,high,match,no,Die Empfangsdame*erk&uuml;ndigte*der Gesellschaft:,Der Rocks&auml;nger*bereden*den Schlagzeuger.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler26_WP2_unrelated_2.jpg,Nein
critical,58,18,filler,SocStat,b,high,high,match,no,Helga*arbeitet*seit vielen Jahren*als Chefredakteurin.,Ich*finde*dass*der Artikel*wegen die kleinen Vorf&auml;lle*deutlich*&uuml;bertreibt.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler18_socstat_related_1.jpg,Ja
critical,34,34,critical,WP1,e,high,high,match,no,Unermesslich wohlerzogen*frohlockt*Elisabeth:,Ich*trinke*sp&auml;ter*meine B&uuml;cher*in dem Lokal.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Buecher.jpg,Ja
critical,112,32,filler,WP2,i,high,low,mismatch,yes,Der Professorenrat*debattierte*&uuml;ber den Zwist:,Der Rektor*begaffte*den Sch&uuml;ler.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler32_WP2_related_1.jpg,Ja
